CP-Line #,Source,SubClass, Name,"Synonym, common name, synthetic identifier",IUPAC (reference standard),IUPAC  (Omic),InChiKey  (reference standard),InChiKey (Omic),Monoisotopic Mass g/mol,Molecular Formula (reference standard),Molecular Formula (Omic),Formula wt (g/mol),Molecular Weight,CAS (reference standard),CAS (Omic),"Commercial, Synthetic, or Putative",HMDB (reference standard),HMDB (Omic),PUBCHEM (reference standard),PUBCHEM (omic),CORE Packet (CP)
34,Estradiol Metabolites,Estradiol Metabolites,2-Methoxyestrone 3-glucuronide,N/A,"(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[[(8R,9S,13S,14S)-2-methoxy-13-methyl-17-oxo-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-yl]oxy]oxane-2-carboxylic acid ","(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[[(8R,9S,13S,14S)-2-methoxy-13-methyl-17-oxo-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-yl]oxy]oxane-2-carboxylic acid ",NZTHZDNDYACBSX-FJNWEKAQSA-N,NZTHZDNDYACBSX-FJNWEKAQSA-N,476.204633,C25H32O9,C25H32O9,476.5,476.5,25577-70-2,25577-70-2,Not Established,HMDB0004482,HMDB0004482,443077  ,443077  ,CP2
45,Fed,Indol Alkaloid,gramine,3-(dimethylaminomethyl)indole,"1-(1H-indol-3-yl)-N,N-dimethylmethanamine","1-(1H-indol-3-yl)-N,N-dimethylmethanamine",OCDGBSUVYYVKQZ-UHFFFAOYSA-N,OCDGBSUVYYVKQZ-UHFFFAOYSA-N,174.115698,C11H14N2,C11H14N2,174.24,174.24,87-52-5,87-52-5,data not pulled from DB,HMDB0035762,HMDB0035762,6890,6890,CP05
91,Fed,flavone,isoorientin,Homoorientin; luteolin-6-C-glucoside,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-6-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one","2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-6-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one",ODBRNZZJSYPIDI-VJXVFPJBSA-N,ODBRNZZJSYPIDI-VJXVFPJBSA-N,448.100561,C21H20O11,C21H20O11,448.4,448.4,4261-42-1,4261-42-1,Commercial,N/A,N/A,114776,114776,CP03
187,metabolite,benzyl alcohol,"3,4-dimethoxybenzyl alcohol   ",Veratryl Alcohol,"(3,4-dimethoxyphenyl)methanol","(3,4-dimethoxyphenyl)methanol",OEGPRYNGFWGMMV-UHFFFAOYSA-N,OEGPRYNGFWGMMV-UHFFFAOYSA-N,168.078644,C9H12O3,C9H12O3,168.19,168.19,93-03-8,93-03-8,commercial,N/A,N/A,7118,7118,CP1
138,Fed,Vitamins ,A (β-carotene) ,beta-carotene,"1,3,3-trimethyl-2-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-3,7,12,16-tetramethyl-18-(2,6,6-trimethylcyclohexen-1-yl)octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]cyclohexene","1,3,3-trimethyl-2-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-3,7,12,16-tetramethyl-18-(2,6,6-trimethylcyclohexen-1-yl)octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]cyclohexene",OENHQHLEOONYIE-JLTXGRSLSA-N ,OENHQHLEOONYIE-JLTXGRSLSA-N ,536.438202,C40H56,C40H56,536.9,536.9,7235-40-7,7235-40-7,Commercial,HMDB0000561,HMDB0000561,5280489,5280489,CP03
25,Diet/Food,lignan,isolariciresinol,(+)-Isolariciresinol,"(6R,7R,8S)-8-(4-hydroxy-3-methoxyphenyl)-6,7-bis(hydroxymethyl)-3-methoxy-5,6,7,8-tetrahydronaphthalen-2-ol ","(6R,7R,8S)-8-(4-hydroxy-3-methoxyphenyl)-6,7-bis(hydroxymethyl)-3-methoxy-5,6,7,8-tetrahydronaphthalen-2-ol ",OGFXBIXJCWAUCH-KPHUOKFYSA-N,OGFXBIXJCWAUCH-KPHUOKFYSA-N,360.157288,C20H24O6,C20H24O6,360.4,360.4,548-29-8,548-29-8,Not Established,N/A,N/A,160521 ,160521 ,CP2
87,metabolite,benzenediol,"5-methyl-1,3-benzenediol","3,5-Dihydroxytoluene; 5-Methyl-1,3-benzenediol; 1,3-Dihydroxy-5-methylbenzene; orcinol","5-methylbenzene-1,3-diol","5-methylbenzene-1,3-diol",OIPPWFOQEKKFEE-UHFFFAOYSA-N,OIPPWFOQEKKFEE-UHFFFAOYSA-N,124.052429,C7H8O2,C7H8O2,124.14,124.14,504-15-4,504-15-4,commercial,N/A,N/A,10436,10436,CP1
190,metabolite,benzyl alcohol,3-hydroxybenzyl alcohol   ,3-Hydroxybenzenemethanol,3-(hydroxymethyl)phenol,3-(hydroxymethyl)phenol,OKVJCVWFVRATSG-UHFFFAOYSA-N,OKVJCVWFVRATSG-UHFFFAOYSA-N,124.0524295,C7H8O2,C7H8O2,124.14,124.14,620-24-6,620-24-6,commercial,HMDB0059712,HMDB0059712,102,102,CP1
209,Metabolite,luteolin metabolites,"Luteolin-7,3-O-diglucuronide","Luteolin 7,3'-diglucuronide","(3S,4S,6S)-6-[2-[3-[(2S,4S,5S)-6-carboxy-3,4,5-trihydroxyoxan-2-yl]oxy-4-hydroxyphenyl]-5-hydroxy-4-oxochromen-7-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid","(3S,4S,6S)-6-[2-[3-[(2S,4S,5S)-6-carboxy-3,4,5-trihydroxyoxan-2-yl]oxy-4-hydroxyphenyl]-5-hydroxy-4-oxochromen-7-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",OPANBGHBBMSMQC-UYCRYRKDSA-N,OPANBGHBBMSMQC-UYCRYRKDSA-N,638.111914,C27H26O18,C27H26O18,638.5,638.5,No CAS,No CAS,Commercial,N/A,N/A,44258091,44258091,CP03
62,metabolite,benzaldehyde,"3,4,5-trimethoxybenzaldehyde   ","3,4,5-Trimethoxy-benzaldehyde","3,4,5-trimethoxybenzaldehyde","3,4,5-trimethoxybenzaldehyde",OPHQOIGEOHXOGX-UHFFFAOYSA-N,OPHQOIGEOHXOGX-UHFFFAOYSA-N,196.073559,C10H12O4,C10H12O4,196.20,196.20,86-81-7,86-81-7,commercial,N/A,N/A,6858,6858,CP1
103,Fed,coumarin,7-hydroxycoumarin,Umbelliferone,7-hydroxychromen-2-one,7-hydroxychromen-2-one,ORHBXUUXSCNDEV-UHFFFAOYSA-N,ORHBXUUXSCNDEV-UHFFFAOYSA-N,162.031694,C9H6O3,C9H6O3,162.14,162.14,93-35-6,93-35-6,Commercial,HMDB0029865,HMDB0029865,5281426,5281426,CP03
416,metabolite,phenylpropanoic acid,3-(4-methoxyphenyl)propanoic acid-3-O-glucuronide,dihydro isoferulic acid 3-O-β-D-glucuronide,"(2S,3S,4S,5R,6S)-6-[5-(2-carboxyethyl)-2-methoxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-6-[5-(2-carboxyethyl)-2-methoxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",OSJGZCUHTGTJHT-JHZZJYKESA-N,OSJGZCUHTGTJHT-JHZZJYKESA-N,372.105647,C₁₆H₂₀O₁₀,C₁₆H₂₀O₁₀,372.32,372.32,1187945-72-7,1187945-72-7,synthetic,HMDB0240497,HMDB0240497,49844034,49844034,CP1
290,Metabolite,valerolactone metabolites,5-(3'-hydroxyphenyl)-gamma-valerolactone-4'-O-glucuronide,Val-M6-OGlcA; Hydroxyphenyl‐γ‐valerolactone glucuronide; Hydroxyphenyl-valerolactone (M7)-glucuronide; 3-OH-phenyl-g-Val-4-OGlcA,"(2R,3R,4R,5S,6R)-3,4,5-trihydroxy-6-[2-hydroxy-4-[(5-oxooxolan-2-yl)methyl]phenoxy]oxane-2-carboxylic acid","(2R,3R,4R,5S,6R)-3,4,5-trihydroxy-6-[2-hydroxy-4-[(5-oxooxolan-2-yl)methyl]phenoxy]oxane-2-carboxylic acid",OTBJYBQGMPICIK-GHPVWUPISA-N,OTBJYBQGMPICIK-GHPVWUPISA-N,384.10564686,C17H20O10,C17H20O10,384.3347,384.3347,No CAS,No CAS,Commercial,HMDB0059989,HMDB0059989,124202077,124202077,CP03
427,metabolite,purine,"1,3-dimethyluric acid   ","1,3-dimethyl uric acid","1,3-dimethyl-7,9-dihydropurine-2,6,8-trione","1,3-dimethyl-7,9-dihydropurine-2,6,8-trione",OTSBKHHWSQYEHK-UHFFFAOYSA-N,OTSBKHHWSQYEHK-UHFFFAOYSA-N,196.0596401,C₇H₈N₄O₃,C₇H₈N₄O₃,196.16,196.16,944-73-0,944-73-0,commercial,HMDB0001857,HMDB0001857,70346,70346,CP1
191,Metabolite,quercetin metabolites,Quercetin-4-O-glucuronide,Quercetin-4'-Glucuronide,"(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[2-hydroxy-4-(3,5,7-trihydroxy-4-oxochromen-2-yl)phenoxy]oxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[2-hydroxy-4-(3,5,7-trihydroxy-4-oxochromen-2-yl)phenoxy]oxane-2-carboxylic acid",OUQZCILJSVDJFB-JENRNSKYSA-N,OUQZCILJSVDJFB-JENRNSKYSA-N,478.074740662,C21H18O13,C21H18O13,478.3598,478.3598,201463-36-7,201463-36-7,Commercial,HMDB0029214,HMDB0029214,57331045  ,57331045  ,CP03
4,metabolite,amino acid,"L-tyrosine-13C9,15N",N/A,"(2S)-2-(15N)azanyl-3-(4-hydroxy(1,2,3,4,5,6-13C6)cyclohexa-1,3,5-trien-1-yl)(1,2,3-13C3)propanoic acid","(2S)-2-(15N)azanyl-3-(4-hydroxy(1,2,3,4,5,6-13C6)cyclohexa-1,3,5-trien-1-yl)(1,2,3-13C3)propanoic acid",OUYCCCASQSFEME-CMLFETTRSA-N,OUYCCCASQSFEME-CMLFETTRSA-N,191.101122,¹³C₉H₁₁¹⁵NO₃,¹³C₉H₁₁¹⁵NO₃,191.12,191.12,202407-26-9,202407-26-9,Commercial,NA,NA,16217563,16217563,CP1
336,Fed,amino acid,L-Tyrosine,n/a,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,OUYCCCASQSFEME-QMMMGPOBSA-N,OUYCCCASQSFEME-QMMMGPOBSA-N,181.0738932,C9H11NO3,C9H11NO3,181.1885,181.1885,60-18-4,60-18-4,Commercial,HMDB0000158,HMDB0000158,6057,6057,CP03
338,Fed,Vitamin ,Folic acid,n/a,(2S)-2-[[4-[(2-amino-4-oxo-3H-pteridin-6-yl)methylamino]benzoyl]amino]pentanedioic acid,(2S)-2-[[4-[(2-amino-4-oxo-3H-pteridin-6-yl)methylamino]benzoyl]amino]pentanedioic acid,OVBPIULPVIDEAO-LBPRGKRZSA-N,OVBPIULPVIDEAO-LBPRGKRZSA-N,441.1396814,C19H19N7O6,C19H19N7O6,441.3975,441.3975,59-30-3,59-30-3,Commercial,HMDB0000121,HMDB0000121,135398658 ,135398658 ,CP03
303,metabolite,flavonol,quercetin-3-O-galactoside,Hyperoside; Hyperin; Quercetin 3-galactoside; Quercetin-3-O-galactoside; Hyperoside,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one","2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",OVSQVDMCBVZWGM-DTGCRPNFSA-N,OVSQVDMCBVZWGM-DTGCRPNFSA-N,464.0954761,C21H20O12,C21H20O12,464.38,464.38,482-36-0,482-36-0,commercial,HMDB0030775,HMDB0030775,5281643,5281643,CP1
315,fed/metabolite,flavonol,quercetin 3-glucoside  ,Isoquercitrin,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one","2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",OVSQVDMCBVZWGM-QSOFNFLRSA-N,OVSQVDMCBVZWGM-QSOFNFLRSA-N,464.0954761,C21H20O12,C21H20O12,464.38,464.38,482-35-9,482-35-9,commercial,HMDB0037362,HMDB0037362,5280804,5280804,CP1
459,metabolite,valerolactone,5-(4'-hydroxyphenyl)-gamma-valerolactone,M7Valerolactone; M7Val; 5-(Hydroxyphenyl)-gamma-valerolactone; 5-[(4-Hydroxyphenyl)methyl]oxolan-2-one,5-[(4-hydroxyphenyl)methyl]oxolan-2-one,5-[(4-hydroxyphenyl)methyl]oxolan-2-one,OXASBXALVLRTKO-UHFFFAOYSA-N,OXASBXALVLRTKO-UHFFFAOYSA-N,192.078644,C11H12O3,C11H12O3,192.214,192.214,871329-30-5,871329-30-5,commercial,NA,NA,11550142,11550142,CP1
130,Fed,flavonol,quercitrin,quercetin-3-O-rhamnoside,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one","2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one",OXGUCUVFOIWWQJ-HQBVPOQASA-N,OXGUCUVFOIWWQJ-HQBVPOQASA-N,448.100561,C21H20O11,C21H20O11,448.4,448.4,522-12-3,522-12-3,Commercial,HMDB0033751,HMDB0033751,5280459,5280459,CP03
242,Metabolite,cinnamic acid metabolites,cinnamic acid-4-sulfate,​4-Hydroxycinnamic acid-4-sulfate; p-Coumaric acid sulfate,(E)-3-(4-sulfooxyphenyl)prop-2-enoic acid,(E)-3-(4-sulfooxyphenyl)prop-2-enoic acid,OYDCCWNLILCHDJ-ZZXKWVIFSA-N,OYDCCWNLILCHDJ-ZZXKWVIFSA-N,244.004159,C9H8O6S,C9H8O6S,244.22,244.22,151481-49-1,151481-49-1,Commercial,HMDB0125166,HMDB0125166,6070438,6070438,CP03
189,Metabolite,Avenanthramide metabolites,3-Hydroxy-4-methylanthranilic acid,2-amino-3-hydroxy-4-methylbenzoic acid; 2-amino-3-hydroxy-4-methoxybenzoic acid; 5-hydroxy-4-methoxyanthranilic acid,2-amino-3-hydroxy-4-methylbenzoic acid,2-amino-3-hydroxy-4-methylbenzoic acid,OYZONAXDAWHDMN-UHFFFAOYSA-N,OYZONAXDAWHDMN-UHFFFAOYSA-N,167.058243,C8H9NO3,C8H9NO3,167.16,167.16,552-14-7,552-14-7,data not pulled from DB,N/A,N/A,95222,95222,CP05
9,Diet/Food,Isoflavone,glycitin,Glycitein 7-O-glucoside,"3-(4-hydroxyphenyl)-6-methoxy-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one","3-(4-hydroxyphenyl)-6-methoxy-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",OZBAVEKZGSOMOJ-MIUGBVLSSA-N,OZBAVEKZGSOMOJ-MIUGBVLSSA-N,446.121297,C22H22O10,C22H22O10,446.4,446.4,40246-10-4,40246-10-4,Not Established,N/A,N/A,187808 ,187808 ,CP2
244,metabolite,cinnamic acid,"4-hydroxy-3,5-dimethoxycinnamic acid",Sinapic acid;4-OH-35-diOCH-CIA ,"(E)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enoic acid","(E)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enoic acid",PCMORTLOPMLEFB-ONEGZZNKSA-N,PCMORTLOPMLEFB-ONEGZZNKSA-N,224.0684735,C11H12O5,C11H12O5,224.212,224.212,"530-59-6, 7362-37-0","530-59-6, 7362-37-0",Commercial,HMDB0032616,HMDB0032616,637775,637775,CP1
205,Metabolite,luteolin metabolites,Luteolin-3-sulfate,Luteolin 3'-Sulfate,"[5-(5,7-dihydroxy-4-oxochromen-2-yl)-2-hydroxyphenyl] hydrogen sulfate","[5-(5,7-dihydroxy-4-oxochromen-2-yl)-2-hydroxyphenyl] hydrogen sulfate",PEQKOWDFKUBMQH-UHFFFAOYSA-N,PEQKOWDFKUBMQH-UHFFFAOYSA-N,366.004553,C15H10O9S,C15H10O9S,366.3,366.3,No CAS,No CAS,Commercial,HMDB0133369,HMDB0133369,44258151 ,44258151 ,CP03
21,Diet/Food,lignan,sesamin,(+)-Sesamin,"5-[(3S,3aR,6S,6aR)-3-(1,3-benzodioxol-5-yl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-6-yl]-1,3-benzodioxole ","5-[(3S,3aR,6S,6aR)-3-(1,3-benzodioxol-5-yl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-6-yl]-1,3-benzodioxole ",PEYUIKBAABKQKQ-AFHBHXEDSA-N,PEYUIKBAABKQKQ-AFHBHXEDSA-N,354.110338,C20H18O6,C20H18O6,354.4,354.4,607-80-7,607-80-7,Not Established,HMDB0034256,HMDB0034256,72307,72307,CP2
363,metabolite,phenyl amine,2-amino-3-(4-hydroxy-3-methoxyphenyl)propanoic acid,rac 3-O-Methyl DOPA; 3-methoxytyrosine; 2-NH2-4-OH-PPA,2-amino-3-(4-hydroxy-3-methoxyphenyl)propanoic acid,2-amino-3-(4-hydroxy-3-methoxyphenyl)propanoic acid,PFDUUKDQEHURQC-UHFFFAOYSA-N,PFDUUKDQEHURQC-UHFFFAOYSA-N,211.0844579,C10H13NO4,C10H13NO4,211.21,211.21,7636-26-2,7636-26-2,commercial,HMDB0001434,HMDB0001434,1670,1670,CP1
282,fed/metabolite,flavan-3-ol,catechin   ,(+)-Catechin,"(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol","(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",PFTAWBLQPZVEMU-DZGCQCFKSA-N,PFTAWBLQPZVEMU-DZGCQCFKSA-N,290.0790382,C15H14O6,C15H14O6,290.27,290.27,154-23-4,154-23-4,Commercial,HMDB02780,HMDB02780,9064,9064,CP1
285,fed/metabolite,flavan-3-ol,epicatechin, (-)-Epicatechol,"(2~{R},3~{R})-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2~{H}-chromene-3,5,7-triol","(2~{R},3~{R})-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2~{H}-chromene-3,5,7-triol",PFTAWBLQPZVEMU-UKRRQHHQSA-N,PFTAWBLQPZVEMU-UKRRQHHQSA-N,290.0790382,C15H14O6,C15H14O6,290.27,290.27,490-46-0,490-46-0,Commercial,HMDB0001871,HMDB0001871,72276,72276,CP1
346,metabolite,xanthine,7-methylxanthine   ,Heteroxanthine,"7-methyl-3H-purine-2,6-dione","7-methyl-3H-purine-2,6-dione",PFWLFWPASULGAN-UHFFFAOYSA-N,PFWLFWPASULGAN-UHFFFAOYSA-N,166.0490755,C6H6N4O2,C6H6N4O2,166.14,166.14,552-62-5,552-62-5,commercial,HMDB0001991,HMDB0001991,68374,68374,CP1
187,Metabolite,hesperetin metabolites,Hesperetin-3-O-glucuronide ,Hesperetin-3′-O-glucuronide ,"(2S,3S,4S,5R,6S)-6-[5-(5,7-dihydroxy-4-oxo-2,3-dihydrochromen-2-yl)-2-methoxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-6-[5-(5,7-dihydroxy-4-oxo-2,3-dihydrochromen-2-yl)-2-methoxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",PJAUEKWZQWLQSU-WDXLFLMVSA-N  ,PJAUEKWZQWLQSU-WDXLFLMVSA-N  ,478.1111262,C22H22O12,C22H22O12,478.4029,478.4029,1237479-05-8,1237479-05-8,Commercial,HMDB41743,HMDB41743,46896123,46896123,CP03
128,Fed,flavone,orientin,luteolin 8-C-glucoside,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-8-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one","2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-8-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one",PLAPMLGJVGLZOV-VPRICQMDSA-N,PLAPMLGJVGLZOV-VPRICQMDSA-N,448.100561,C21H20O11,C21H20O11,448.4,448.4,28608-75-5,28608-75-5,Commercial,HMDB0030614,HMDB0030614,5281675,5281675,CP03
188,Metabolite,hesperetin metabolites,Hesperetin-7-O-glucuronide ,n/a,"3,4,5-trihydroxy-6-[[5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-2,3-dihydro-1,4-benzodioxin-7-yl]oxy]oxane-2-carboxylic acid","3,4,5-trihydroxy-6-[[5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-2,3-dihydro-1,4-benzodioxin-7-yl]oxy]oxane-2-carboxylic acid",PLNORHFXCFFTRD-UHFFFAOYSA-N  ,PLNORHFXCFFTRD-UHFFFAOYSA-N  ,466.111126,C21H22O12,C21H22O12,466.4,466.4,No CAS,No CAS,Commercial,HMDB0029203,HMDB0029203,131750809,131750809,CP03
204,Fed,Amine,4-Hydroxyproline,L-Hydroxyproline,4-hydroxypyrrolidine-2-carboxylic acid,4-hydroxypyrrolidine-2-carboxylic acid,PMMYEEVYMWASQN-UHFFFAOYSA-N,PMMYEEVYMWASQN-UHFFFAOYSA-N,131.058243,C5H9NO3,C5H9NO3,131.13 ,131.13 ,6912-67-0,6912-67-0,data not pulled from DB,N/A,N/A,825  ,825  ,CP05
235,metabolite,cinnamic acid,2-hydroxycinnamic acid   , O-Coumaric acid,(E)-3-(2-hydroxyphenyl)prop-2-enoic acid,(E)-3-(2-hydroxyphenyl)prop-2-enoic acid,PMOWTIHVNWZYFI-AATRIKPKSA-N,PMOWTIHVNWZYFI-AATRIKPKSA-N,164.047344,C9H8O3,C9H8O3,164.16,164.16,614-60-8,614-60-8,synthetic,HMDB0002641,HMDB0002641,637540,637540,CP1
12,metabolite,amino uracil,5-acetylamino-6-amino-3-methyluracil,"N-(6-Amino-3-methyl-2,4-dioxo-1,2,3,4-tetrahydropyrimidin-5-yl)acetamide","N-(6-amino-3-methyl-2,4-dioxo-1H-pyrimidin-5-yl)acetamide","N-(6-amino-3-methyl-2,4-dioxo-1H-pyrimidin-5-yl)acetamide",POQOTWQIYYNXAT-UHFFFAOYSA-N,POQOTWQIYYNXAT-UHFFFAOYSA-N,198.0752902,C₇H₁₀N₄O₃,C₇H₁₀N₄O₃,198.18,198.18,19893-78-8,19893-78-8,commercial,HMDB0004400,HMDB0004400,88299,88299,CP1
200,Metabolite,carboxylic acid,4-imidazoleacetic acid,2-(1H-imidazol-5-yl)acetic acid,2-(1H-imidazol-5-yl)acetic acid,2-(1H-imidazol-5-yl)acetic acid,PRJKNHOMHKJCEJ-UHFFFAOYSA-N,PRJKNHOMHKJCEJ-UHFFFAOYSA-N,126.0429274,C5H6N2O2,C5H6N2O2,126.1133,126.1133,645-65-8,645-65-8,Commercial,HMDB0002024,HMDB0002024,96215,96215,CP1
38,Estradiol Metabolites,Estradiol Metabolites,17-Epiestriol,"16a,17a-Estriol","(8R,9S,13S,14S,16R,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,16,17-triol","(8R,9S,13S,14S,16R,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,16,17-triol",PROQIPRRNZUXQM-PNVOZDDCSA-N  ,PROQIPRRNZUXQM-PNVOZDDCSA-N  ,288.172545,C18H24O3,C18H24O3,288.4,288.4,1228-72-4,1228-72-4,Not Established,HMDB0000356,HMDB0000356,256737 ,256737 ,CP2
39,Estradiol Metabolites,Estradiol Metabolites,16-Epiestriol,16b-Hydroxyestradiol,"(8R,9S,13S,14S,16S,17R)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,16,17-triol","(8R,9S,13S,14S,16S,17R)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,16,17-triol",PROQIPRRNZUXQM-ZMSHIADSSA-N,PROQIPRRNZUXQM-ZMSHIADSSA-N,288.172545,C18H24O3,C18H24O3,288.4,288.4,547-81-9,547-81-9,Not Established,HMDB0000347,HMDB0000347,68929 ,68929 ,CP2
166,Metabolite,epicatechin metabolites,4-O-Methyl-(-)-epicatechin-3-O-glucuronide,4'-O-Methyl-(-)-Epicatechin 3'-O-Glucuronide,"(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[2-methoxy-5-[(2R,3R)-3,5,7-trihydroxy-3,4-dihydro-2H-chromen-2-yl]phenoxy]oxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[2-methoxy-5-[(2R,3R)-3,5,7-trihydroxy-3,4-dihydro-2H-chromen-2-yl]phenoxy]oxane-2-carboxylic acid",PSOMCIRLFFROES-FDRKUGEKSA-N,PSOMCIRLFFROES-FDRKUGEKSA-N,480.126776,C22H24O12,C22H24O12,480.4,480.4,No CAS,No CAS,Commercial,HMDB41674,HMDB41674,101244286  ,101244286  ,CP03
70,formononetin metabolite,formononetin metabolite,3'-hydroxy-4'-methoxyisoflavone-7-glucuronide,N/A,"(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[3-(3-hydroxy-4-methoxyphenyl)-4-oxochromen-7-yl]oxyoxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[3-(3-hydroxy-4-methoxyphenyl)-4-oxochromen-7-yl]oxyoxane-2-carboxylic acid",PTHMLNIQOFQYSP-SXFAUFNYSA-N,PTHMLNIQOFQYSP-SXFAUFNYSA-N,460.100561,C22H20O11,C22H20O11,460.4,460.4,No CAS,No CAS,Not Established,N/A,N/A,101396032 ,101396032 ,CP2
17,Diet/Food,lignan,secoisolariciresinol,(-)-Secoisolariciresinol,"(2R,3R)-2,3-bis[(4-hydroxy-3-methoxyphenyl)methyl]butane-1,4-diol","(2R,3R)-2,3-bis[(4-hydroxy-3-methoxyphenyl)methyl]butane-1,4-diol",PUETUDUXMCLALY-HOTGVXAUSA-N,PUETUDUXMCLALY-HOTGVXAUSA-N,362.172939,C20H26O6,C20H26O6,362.4,362.4,29388-59-8,29388-59-8,Not Established,HMDB0013692,HMDB0013692,65373,65373,CP2
339,Fed,Vitamin ,Nicotinic acid,n/a,pyridine-3-carboxylic acid,pyridine-3-carboxylic acid,PVNIIMVLHYAWGP-UHFFFAOYSA-N,PVNIIMVLHYAWGP-UHFFFAOYSA-N,123.0320284,C6H5NO2,C6H5NO2,123.1094,123.1094,59-67-6,59-67-6,Commercial,HMDB0001488,HMDB0001488,938,938,CP03
